그룹 계층 구조,리전,설명,서비스,선결제,월별,처음 12개월 합계,통화,구성 요약
My Estimate,미국 서부(캘리포니아 북부),,Amazon EC2,0,25519,306228,USD,"운영 체제 (Windows Server), 수량 (100), 요금 전략 (EC2 Instance Savings Plans 1년 선결제 없음), 스토리지 크기 (40 GB), 인스턴스 유형 (r5a.xlarge)"
My Estimate,미국 서부(캘리포니아 북부),,Amazon EC2,0,25279,303348,USD,"운영 체제 (Windows Server), 수량 (50), 요금 전략 (EC2 Instance Savings Plans 1년 선결제 없음), 스토리지 크기 (40 GB), 인스턴스 유형 (r5a.2xlarge)"
My Estimate,미국 서부(캘리포니아 북부),,Amazon RDS for MySQL,0,3052.974,36635.69,USD,"각 RDS 인스턴스의 스토리지 (범용 SSD(gp2)), 스토리지 크기 (1 TB), 수량 (1), 인스턴스 유형 (db.r6g.4xlarge), 사용률(온디맨드 전용) (100 %Utilized/Month), 배포 옵션 (Multi-AZ), 요금 모델 (OnDemand)"
My Estimate,미국 서부(캘리포니아 북부),,Network Load Balancer,0,141.28,1695.36,USD,"Network Load Balancer 수 (1), TCP에 대한 NLB당 처리된 바이트 수 (20 TB 기준 월), 평균 새 TCP 연결 수 ( 초당), 평균 TCP 연결 기간 ( 초)"
My Estimate,미국 서부(캘리포니아 북부),,AWS Network Firewall,0,1938.72,23264.64,USD,네트워크 방화벽 트래픽 처리 (20 월별 TB)
My Estimate,미국 서부(캘리포니아 북부),,Amazon Virtual Private Cloud (VPC),0,3650,43800,USD,"월별 근무일 (22), DT 인바운드: Internet (20 월별 TB), DT 아웃바운드: Amazon CloudFront (20 월별 TB), DT 리전 내: (0 월별 TB), Site-to-Site VPN 연결 수 (100)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
확인,,,,,,,,
"* AWS Pricing Calculator는 AWS 요금에 대한 예상 비용만 제공하며, 해당되는 세금은 포함하지 않습니다. 실제 요금은 AWS 서비스의 실제 사용량을 포함하여 다양한 요소에 따라 달라질 수 있습니다.",,,,,,,,
