그룹 계층 구조,리전,설명,서비스,선결제,월별,처음 12개월 합계,통화,구성 요약
My Estimate,미국 서부(캘리포니아 북부),,Amazon EC2,0,2019.6,24235.20,USD,"운영 체제 (Linux), 수량 (50), 요금 전략 (EC2 Instance Savings Plans 1년 선결제 없음), 스토리지 크기 (30 GB), 인스턴스 유형 (t4g.large)"
My Estimate,미국 서부(캘리포니아 북부),,Amazon EC2,0,4264.12,51169.44,USD,"운영 체제 (Linux), 수량 (40), 요금 전략 (EC2 Instance Savings Plans 1년 선결제 없음), 스토리지 크기 (30 GB), 인스턴스 유형 (r6g.xlarge)"
My Estimate,미국 서부(캘리포니아 북부),,Amazon RDS for MySQL,0,4837.824,58053.89,USD,"각 RDS 인스턴스의 스토리지 (범용 SSD(gp2)), 스토리지 크기 (1 TB), 수량 (1), 인스턴스 유형 (db.m5.8xlarge), 사용률(온디맨드 전용) (100 %Utilized/Month), 배포 옵션 (Multi-AZ), 요금 모델 (OnDemand)"
My Estimate,미국 서부(캘리포니아 북부),,Network Load Balancer,0,159.67,1916.04,USD,"Network Load Balancer 수 (2), TCP에 대한 NLB당 처리된 바이트 수 (10 TB 기준 월)"
My Estimate,미국 서부(캘리포니아 북부),,S3 Standard,0,53.25,639.00,USD,S3 Standard 스토리지 (2 TB 기준 월)



확인
"* AWS Pricing Calculator는 AWS 요금에 대한 예상 비용만 제공하며, 해당되는 세금은 포함하지 않습니다. 실제 요금은 AWS 서비스의 실제 사용량을 포함하여 다양한 요소에 따라 달라질 수 있습니다."
